Strike,Call Price,Put Price
143.919403,147.6888794854,0.21609376450018
172.7032836,120.556615268743,1.15703360366308
201.4871642,95.1806798942277,3.8543022849679
230.2710448,72.6653898398989,9.41221628645909
259.0549254,53.7677199097465,18.5877504121268
287.838806,38.7029664838177,31.5962010420179
316.6226866,27.2160925098608,48.1825311238812
345.4065672,18.7741675710787,67.813810240919
374.1904478,12.7520812694779,89.8649279951383
402.9743284,8.55676759956762,113.742818381048
431.758209,5.68796232593013,138.947217163231
