Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,494.399994,505.100006,480.000000,489.950012,465.411987,5355664
2014-01-08,490.549988,499.399994,485.549988,487.399994,462.989685,3496043
2014-01-15,486.000000,500.000000,472.299988,479.250000,455.247864,5188051
2014-01-22,478.850006,480.700012,465.000000,476.799988,452.920563,6751176
2014-01-29,478.100006,484.750000,463.950012,476.000000,452.160553,7264958
2014-02-05,473.200012,495.000000,470.100006,484.350006,460.092438,6096491
2014-02-12,479.000000,483.000000,463.649994,473.100006,449.405914,2176925
2014-02-19,472.000000,474.850006,460.200012,472.049988,448.408417,2660802
2014-02-26,470.500000,482.500000,468.500000,475.600006,451.780701,2710019
2014-03-05,477.399994,490.000000,472.000000,480.700012,456.625214,3333752
2014-03-12,481.000000,504.600006,478.600006,501.600006,476.478516,3012695
2014-03-19,503.000000,533.599976,503.000000,525.299988,498.991547,4732327
2014-03-26,526.549988,550.000000,523.450012,536.650024,509.773071,3786937
2014-04-02,536.000000,544.849976,521.000000,539.549988,512.527832,4079830
2014-04-09,542.349976,550.000000,530.849976,534.500000,507.730743,2278815
2014-04-16,537.650024,547.000000,532.500000,536.400024,509.535706,3104198
2014-04-23,532.250000,540.049988,494.700012,497.600006,472.678833,3685186
2014-04-30,498.200012,524.450012,498.200012,514.750000,488.969940,2017693
2014-05-07,510.000000,551.000000,503.000000,540.349976,513.287720,3479984
2014-05-14,544.900024,563.900024,515.700012,528.900024,502.411285,7097992
2014-05-21,528.000000,549.849976,515.000000,523.750000,497.519073,4925000
2014-05-28,522.599976,524.500000,501.750000,509.100006,483.602966,5790697
2014-06-04,507.700012,539.799988,503.500000,536.250000,509.393188,10409618
2014-06-11,538.049988,565.000000,533.299988,560.599976,532.523682,5480453
2014-06-18,560.000000,582.000000,551.200012,579.900024,555.157288,5628701
2014-06-25,580.099976,598.799988,573.000000,583.849976,558.938843,3854668
2014-07-02,586.549988,604.000000,576.299988,590.099976,564.922058,3225550
2014-07-09,590.099976,602.400024,565.150024,582.500000,557.646423,3237452
2014-07-16,580.500000,610.900024,577.000000,603.599976,577.846069,4480046
2014-07-23,606.000000,644.900024,595.599976,636.000000,608.863770,3992929
2014-07-30,632.000000,649.000000,620.099976,633.400024,606.374878,3292845
2014-08-06,628.250000,651.650024,606.049988,614.200012,587.994019,3515453
2014-08-13,614.000000,628.000000,610.549988,615.299988,589.047058,3051193
2014-08-20,614.000000,624.549988,602.000000,608.000000,582.058350,4227298
2014-08-27,606.500000,635.799988,606.500000,624.250000,597.615112,5080279
2014-09-03,630.000000,680.950012,622.099976,665.150024,636.770020,7251336
2014-09-10,663.000000,675.700012,643.000000,646.799988,619.202881,4600582
2014-09-17,647.200012,674.000000,628.299988,634.799988,607.715027,5997177
2014-09-24,630.000000,643.000000,612.000000,629.549988,604.313721,7775917
2014-10-01,630.000000,639.500000,625.200012,629.099976,603.881653,2011828
2014-10-08,625.000000,673.200012,623.400024,646.099976,620.200317,5586265
2014-10-15,646.099976,657.000000,621.650024,644.250000,618.424561,4984986
2014-10-22,649.799988,658.799988,633.549988,646.700012,620.776367,6121699
2014-10-29,653.950012,663.000000,641.099976,653.599976,627.399475,6130229
2014-11-05,660.900024,664.799988,637.000000,649.299988,623.271973,6449947
2014-11-12,649.000000,703.599976,640.000000,700.900024,672.803589,11201200
2014-11-19,699.700012,700.599976,675.099976,691.750000,664.020325,5532580
2014-11-26,693.900024,802.200012,692.099976,770.049988,739.181641,12461500
2014-12-03,774.799988,809.599976,771.099976,781.799988,750.460571,6546524
2014-12-10,779.950012,790.450012,752.000000,758.849976,728.430481,5632071
2014-12-17,755.099976,761.650024,719.000000,739.250000,709.616333,7074586
2014-12-24,740.099976,762.900024,722.000000,749.950012,719.887329,4460894
2014-12-31,749.750000,787.900024,747.000000,756.500000,726.174683,5852351
2015-01-07,763.400024,842.450012,759.250000,833.849976,800.424011,11061348
2015-01-14,840.000000,859.000000,829.549988,839.200012,805.559692,7552539
2015-01-21,845.000000,892.799988,839.200012,890.500000,854.803223,7021269
2015-01-28,893.049988,922.500000,802.000000,814.700012,782.041809,19370161
2015-02-04,819.799988,829.900024,783.400024,822.200012,789.241089,8395108
2015-02-11,830.000000,849.900024,815.049988,834.150024,800.712097,6110337
2015-02-18,839.099976,842.000000,798.000000,799.549988,767.499084,5939681
2015-02-25,805.200012,842.000000,787.200012,838.299988,804.695740,7410952
2015-03-04,844.500000,848.200012,802.000000,807.950012,775.562439,3612505
2015-03-11,818.000000,841.950012,805.200012,831.400024,798.072327,5432172
2015-03-18,835.849976,847.849976,805.500000,813.299988,780.697937,5971044
2015-03-25,813.799988,817.349976,768.099976,811.299988,778.778076,5703941
2015-04-01,810.000000,838.799988,803.500000,835.200012,801.720032,2355271
2015-04-08,841.000000,865.549988,840.000000,862.049988,827.493835,3609629
2015-04-15,861.650024,863.000000,792.000000,796.500000,764.571472,4903881
2015-04-22,800.000000,810.000000,730.000000,765.450012,734.765991,7856529
2015-04-29,763.099976,784.849976,747.200012,781.400024,750.076660,5730923
2015-05-06,779.000000,779.000000,734.849976,758.349976,727.950439,6575597
2015-05-13,759.049988,818.000000,750.000000,774.750000,743.693115,14982597
2015-05-20,775.650024,779.799988,754.400024,763.500000,732.894226,6700073
2015-05-27,762.000000,795.000000,754.400024,759.200012,728.766602,6155860
2015-06-03,763.000000,767.000000,730.000000,735.700012,706.208618,4312826
