Strike,Call Price,Put Price
609.825012,624.8817339052671,8.871166401007869e-05
731.7900144,505.94260363202363,0.014634199699908534
853.7550168,387.4125569326185,0.4382632615742299
975.7200191999999,272.3993179186507,4.378700008885609
1097.6850216,170.17192631282364,21.104984164337964
1219.6500239999998,92.41151701925116,62.298250632044756
1341.6150263999998,43.44667747864116,132.28708685271397
1463.5800287999998,17.856370482155995,225.65045561750833
1585.5450311999998,6.5222663407762695,333.27002723740793
1707.5100336,2.156173128487893,447.85760978639905
1829.4750359999998,0.656389760748203,565.3115021799385
