Strike,Call Price,Put Price
159.899994,163.85302337170444,0.005084453175359119
191.8799928,132.76329792782897,0.10576882559407919
223.85999159999997,102.31781810953558,0.8506988235948416
255.83999039999998,73.98012658189356,3.7034171122470596
287.81998919999995,49.76821495723854,10.681915303886129
319.7999879999999,31.120311115177458,23.224421278119195
351.77998679999996,18.175571371307257,41.47009135054324
383.7599855999999,9.993975566628407,64.47890536215849
415.7399843999999,5.220127007612639,90.89546661943695
447.71998319999994,2.612722448471228,119.47847187658977
479.6999819999999,1.2629567678734226,149.3191160122861
